,P1,P2,P3,T1,T2,T3,TA,TG,PO,QG
2016-01-05 10:30:00,7.498103889359668,7.3019814380412065,5.3888900424336725,64.23779616908415,41.66786868010091,34.00099878863226,2.9842015899517844,12.095091826323873,5.311046791355066,232515.00572140468
2016-01-05 11:00:00,7.49010018334319,7.292094891554457,5.373202062302871,64.25213386499446,41.69366167921629,33.90134216404548,3.532486868729015,12.095024718852791,5.295225819046828,232459.55564758088
2016-01-05 11:30:00,7.498062879741157,7.300163630447634,5.379412721366007,64.26099787549619,41.74195053237825,33.983417053501704,4.731001566202486,12.097428243451107,5.301489517485707,232665.79885189046
2016-01-05 12:00:00,7.5044441581742465,7.309114977946697,5.383829602563272,64.26974625849907,41.75814313863071,34.089898860296934,5.810582754949689,12.09249904549532,5.3051132984135085,232680.4306776581
2016-01-05 12:30:00,7.491825136981996,7.295715609462356,5.377536491312875,64.34520069503164,41.74292408587665,34.042068806807784,6.23234340210415,12.088733189486751,5.298256853645196,232647.4522011029
2016-01-05 13:00:00,7.4929384411933615,7.297809554118657,5.370837531835297,64.38883815220318,41.78127849070229,34.11428194910602,7.220799760421133,12.087298359229345,5.292352993426351,232851.4852431913
2016-01-05 13:30:00,7.494815216030648,7.298747232959175,5.36526892086577,64.3880553417856,41.78603650088528,34.07770514484169,8.362352318956034,12.086309149918227,5.286907153150961,232859.8676999359
2016-01-05 14:00:00,7.485047572149131,7.287576829116974,5.352562115255839,64.42806537922911,41.74817918368446,34.02359901432014,8.722729,12.085084083169017,5.273924643506598,233056.6963761081
2016-01-05 14:30:00,7.476153934368307,7.278217281022687,5.3383451500883625,64.45966299640074,41.76076262059368,34.01298368409961,8.779468135200919,12.083918253791367,5.258838058017001,233173.28931577393
2016-01-05 15:00:00,7.4810605684944305,7.281647136016903,5.3287579857331835,64.4672133284199,41.81805456418589,34.06434040868288,8.805223497682741,12.08218306163439,5.248853208180097,233407.849387142
2016-01-05 15:30:00,7.485185203520674,7.2878250802618805,5.325007367436358,64.4483062810191,41.88029895682979,34.184070618288715,8.771317455255183,12.079499842060375,5.248833442849522,233516.2347148943
2016-01-05 16:00:00,7.473896910484093,7.277549463494415,5.321236830703426,64.4801246846218,41.84844655725345,34.24038497084397,8.62271225657201,12.079050015413758,5.243910332482131,233572.0377153245
2016-01-05 16:30:00,7.470492931702279,7.272597554756542,5.318848,64.53608992856357,41.85471830946677,34.205084564691816,8.42379173242143,12.074414913181624,5.238425799616118,233728.8392221484
2016-01-05 17:00:00,7.4748186160016425,7.2777336039072535,5.321035914368151,64.51875541424275,41.89331418707962,34.24035254823013,8.19652074347661,12.072280320453105,5.242463347817455,233823.9624353641
2016-01-05 17:30:00,7.473574158207826,7.277744957116938,5.334376722701952,64.50882086653681,41.901813575588996,34.29832100630669,7.6555137476744415,12.068334386229978,5.255578529261599,233875.81439294879
2016-01-05 18:00:00,7.472633936874652,7.2762110790852645,5.346253836402819,64.4221279310175,41.916228775607046,34.277431798360325,7.050035571994315,12.066298125181456,5.2669463995280505,233902.1479797879
2016-01-05 18:30:00,7.481376616453281,7.284378707401869,5.357309905471559,64.34592474562565,41.879456423328975,34.212463419523985,6.4494926691687855,12.067947256112173,5.278123366513195,233881.39896829665
2016-01-05 19:00:00,7.481089485827002,7.283778308821628,5.3723775755212335,64.31697925727775,41.823294326787035,34.137190707312214,5.76813385902093,12.064569872751855,5.293392747452882,233864.9658811405
2016-01-05 19:30:00,7.489168704281874,7.292744697703369,5.385963798534441,64.27300343389835,41.74564183384796,34.00355189653217,5.385733988722486,12.061118974804893,5.307494054744441,233794.12130791746
2016-01-05 21:00:00,7.497536856869647,7.302528014233673,5.402679869260846,64.29160759164178,41.693159212210716,34.08211642736229,4.883195963086472,12.050067881225614,5.324921202207415,233553.22489508503
2016-01-05 21:30:00,7.48935708824332,7.293045236943163,5.404089894375759,64.43708718984988,41.64778447756044,34.00647277574868,4.314847478031436,12.045730770751646,5.326698314819869,233522.0064803941
2016-01-05 22:00:00,7.499431429217308,7.3025818968919465,5.405954750898028,64.50732336671922,41.63551827177805,33.936421533632014,4.179210061939034,12.046635547161396,5.328495366921183,233468.68134150645
2016-01-05 22:30:00,7.504977586902824,7.310410845187015,5.406394320451641,64.36322574325645,41.62138152438505,33.975906477624484,4.778890968175312,12.043547702777106,5.329508337368756,233410.9659824739
2016-01-05 23:00:00,7.496127381711675,7.3022600384135234,5.406351642175796,64.29465787412813,41.602913646424525,33.97887643553745,5.319835640194309,12.036128064581387,5.329799253968747,233332.48818058695
2016-01-05 23:30:00,7.497025670495745,7.3026581062522915,5.406738,64.31093998083023,41.613418617330254,33.90691520284102,4.927510803536972,12.033355898545954,5.329503722670716,233287.1455791861
2016-01-06 00:00:00,7.505061719741738,7.310940647764255,5.406738,64.33531876907604,41.63428677837137,33.92665111345698,4.442428658199619,12.036216959082562,5.32903265641251,233242.2631038674
2016-01-06 00:30:00,7.498643848647988,7.302634009284273,5.407441501883683,64.40247331009978,41.62190917190864,33.910821269883925,4.482718849340865,12.031718761663578,5.3302639243938765,233186.77970437534
2016-01-06 01:00:00,7.492064744577173,7.296461898364948,5.4170696590396235,64.44817735148871,41.583601333126005,33.92252981271513,4.8210606214920615,12.022511294260724,5.340518430518045,233144.11413469558
2016-01-06 01:30:00,7.49709585506545,7.302009064469908,5.433308887916202,64.39019921890429,41.60932220569611,34.00322017255236,5.507974331902991,12.02136890411777,5.356880948214459,233105.75636579655
